"seriale","sensore","data","valore","latitude","longitue","batteria"
"1FF0837-11","co2","22/11/24 15:22:25",567.91,0,0,
"1FF0837-01","temperature","22/11/24 15:22:25",20.24,0,0,
"1FF0837-03","humidity","22/11/24 15:22:25",48.2,0,0,
"2001C58-10","wet","25/11/24 15:32:30",0,0,0,100
"2001C58-09","trap","25/11/24 15:32:30",0,0,0,100
"2001C58-15","groundhumidity","25/11/24 15:32:30",71,0,0,100
"2001C58-01","temperature","25/11/24 15:32:30",11.05,0,0,100
"2001C58-03","humidity","25/11/24 15:32:30",66,0,0,100
"2001C58-02","pressure","25/11/24 15:32:30",1019.49,0,0,100
"2001C58-16","groundtemperature","25/11/24 15:32:30",12.01,0,0,100
"2001C5B-08","wind","25/11/24 15:54:54",0,0,0,90
"2001C5B-07","plv","25/11/24 15:54:54",0.5,0,0,90
"2001C5B-17","irr","25/11/24 15:54:54",0,0,0,90
"2001C5B-04","tvoc","25/11/24 15:54:54",768,0,0,90
"2001C5B-11","co2eq","25/11/24 15:54:54",575,0,0,90
"2001C5B-03","humidity","25/11/24 15:54:54",66,0,0,90
"2001C5B-01","temperature","25/11/24 15:54:54",13.11,0,0,90
"2001C5B-02","pressure","25/11/24 15:54:54",1019.76,0,0,90
